Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_gps
02483;MEZIERES SUR OISE;02240;;MEZIERES SUR OISE;49.7918999939,3.38740833653
02484;MEZY MOULINS;02650;;MEZY MOULINS;49.0630074888,3.5122782761
02497;MONS EN LAONNOIS;02000;;MONS EN LAONNOIS;49.5379451828,3.55478457954
02499;MONTBAVIN;02000;;MONTBAVIN;49.5295376592,3.51319789821
02501;MONTCHALONS;02860;;MONTCHALONS;49.5131917425,3.72718965805
02505;MONTFAUCON;02540;;MONTFAUCON;48.9466694844,3.43192398845
02506;MONTGOBERT;02600;;MONTGOBERT;49.289626635,3.17404129063
02510;MONTHUREL;02330;;MONTHUREL;49.0275310805,3.55187396803
02513;MONTIGNY LE FRANC;02250;;MONTIGNY LE FRANC;49.6874788196,3.9183982393
02535;NAMPCELLES LA COUR;02140;;NAMPCELLES LA COUR;49.7765756098,4.00209910519
02537;NANTEUIL LA FOSSE;02880;;NANTEUIL LA FOSSE;49.4338010814,3.44800041437
02542;NEUFLIEUX;02300;;NEUFLIEUX;49.6163788231,3.15996849471
02552;NEUVILLETTE;02390;;NEUVILLETTE;49.8554002239,3.46831298648
02559;NOUVION ET CATILLON;02270;;NOUVION ET CATILLON;49.7075667391,3.49359729343
02560;NOUVION LE COMTE;02800;;NOUVION LE COMTE;49.7079830783,3.46084868911
02564;NOYANT ET ACONIN;02200;;NOYANT ET ACONIN;49.3319620657,3.33416303776
02567;OHIS;02500;;OHIS;49.9184307239,4.01170912127
02570;OLLEZY;02480;;OLLEZY;49.729996536,3.14607261695
02576;OSLY COURTIL;02290;;OSLY COURTIL;49.3995301311,3.23736511582
02587;PARFONDRU;02840;;PARFONDRU;49.5385213412,3.70351915315
02588;PARGNAN;02160;;PARGNAN;49.3942391486,3.70308940891
02590;PARGNY LA DHUYS;02330;;PARGNY LA DHUYS;48.9545509576,3.56357370593
02605;PLEINE SELVE;02240;;PLEINE SELVE;49.7965883398,3.5260425643
02608;PLOMION;02140;;PLOMION;49.8188816623,4.01999597737
02618;PREMONT;02110;;PREMONT;50.0143067533,3.39725258008
02620;PRESLES ET BOVES;02370;;PRESLES ET BOVES;49.3900726835,3.54013980029
02623;PRISCES;02140;;PRISCES;49.7721688271,3.86274146906
02626;PROUVAIS;02190;;PROUVAIS;49.4760906978,3.97215349857
02635;RAMICOURT;02110;;RAMICOURT;49.9579684711,3.33105686967
02643;RESSONS LE LONG;02290;;RESSONS LE LONG;49.3881779495,3.1411755288
02645;REUILLY SAUVIGNY;02850;;REUILLY SAUVIGNY;49.0506024106,3.56448771259
